,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
25.038216_121.43024,121.43024,25.038216,43.94084008789054,31.42984,43.820840087890566,32.08023453521728,43.20832055664057,31.84732,42.77832055664046,32.30718482589722,43.76108178710934,31.490082,43.66108178710936,31.902470304489132,43.03499414062488,32.343994,42.65499414062496,33.26645854377747
25.038284_121.450806,121.450806,25.038284,44.61445947265624,31.48346,44.63445947265624,32.098934907913204,43.23963159179682,31.878632,42.956631591796906,32.31472429656982,44.590629638672056,31.57663,44.5676296386717,31.96732101440429,43.30135156249983,32.36035,42.82135156249993,33.315998071670535
25.038383_121.471375,121.471375,25.038383,44.42781640624983,31.486816,44.38781640624984,32.09696816635132,42.8266726074217,31.845673,42.3366726074218,32.27890696716308,44.52396752929671,31.572968,44.46396752929672,32.00422617340088,43.79138330078118,32.330383,43.44138330078125,33.31894960594177
25.038452_121.49191,121.49191,25.038452,44.40244531249984,31.481445,44.49444531250018,32.09906268119811,42.6386586914061,31.787659,42.1186586914062,32.249264039993285,44.658373046875,31.557373,44.668373046875,32.01862957572936,44.19635766601547,32.335358,44.25635766601546,33.32988136291504
25.03852_121.51248,121.51248,25.03852,44.83653588867182,31.455536,44.77653588867183,32.09548318099976,42.40010644531238,31.709106,41.91010644531248,32.24473417663574,44.73053124999998,31.519531,44.80053124999996,32.01484406471252,44.048749023437374,32.31775,44.05874902343737,33.34855101394653
25.038582_121.53302,121.53302,25.038582,45.538490234375,31.42749,45.47149023437511,32.10128861427307,42.295074707031134,31.614075,41.735074707031245,32.24751253890991,44.47798852539045,31.506989,44.52898852539079,32.0370419807434,43.82357202148429,32.292572,43.7835720214843,33.380200662612914
25.038643_121.55359,121.55359,25.038643,45.73419946289057,31.3732,45.75419946289057,32.09386515808105,42.41844628906234,31.507446,41.84844628906245,32.25316863822937,44.30820336914048,31.477203,44.26820336914049,32.049980653762816,44.09110253906235,32.230103,44.101102539062346,33.391393596649166
25.038704_121.57416,121.57416,25.038704,44.76018701171861,30.979187,44.750187011718616,31.89155800247192,42.453397460937445,31.082397,41.88339746093736,32.044198097229,44.12855151367207,31.121552,44.06255151367171,31.8629430179596,44.10144555664058,31.800446,44.07144555664059,33.181821376800535
25.038757_121.594696,121.594696,25.038757,44.35249291992174,30.561493,44.112492919921785,31.67536385917664,42.174126220703045,30.673126,41.61412622070296,31.83491003990173,42.72294335937482,30.741943,42.23294335937492,31.65954793548584,43.82624536132805,31.345245,43.66624536132808,32.947144493103025
25.03881_121.615265,121.615265,25.03881,44.353939453125,30.26294,44.18393945312484,32.09572346687317,42.291961914062334,30.360962,41.54196191406248,32.24982355308533,42.92096948242181,30.49997,42.63096948242187,32.0741422214508,43.81094628906237,31.069946,43.62094628906241,33.374340332031245
