,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
127,中山區,中央里,1682095.0,,1804106.0,1821393.0,3848.0,3872.0,3868.0,3851.0,3851.0,437.1348752598753,,466.41830403309206,472.96624253440666
128,中山區,力行里,2177655.0,16672.0,2262566.0,2361340.0,5816.0,5897.0,5950.0,6076.0,6076.0,374.42486244841814,2.8272002713244024,380.2631932773109,388.633969716919
129,中山區,復華里,2625958.0,791.0,2935214.0,2923746.0,4724.0,4806.0,4833.0,4864.0,4864.0,555.8759525825571,0.1645859342488556,607.3275398303331,601.0990953947369
130,中山區,興亞里,3367674.0,3273277.0,3639740.0,3568427.0,5268.0,5331.0,5424.0,5404.0,5404.0,639.2699316628701,614.0080660288876,671.0435103244838,660.330680977054
131,中山區,埤頭里,651423.0,658620.0,724036.0,761106.0,3579.0,3607.0,3607.0,3541.0,3541.0,182.01257334450963,182.59495425561408,200.7308012198503,214.9409771251059
132,中山區,圓山里,2093038.0,2101421.0,2174080.0,2220033.0,4210.0,4331.0,4420.0,4451.0,4451.0,497.1586698337292,485.2045716924498,491.87330316742083,498.77173668838464
133,中山區,大佳里,154193.0,178467.0,155419.0,183471.0,1152.0,1143.0,1132.0,1135.0,1135.0,133.84809027777777,156.13910761154855,137.29593639575972,161.64845814977974
134,中山區,恆安里,4237.0,9791.0,8967.0,20649.0,4303.0,4449.0,4678.0,4834.0,4834.0,0.9846618638159423,2.2007192627556753,1.916844805472424,4.271617707902358
135,中山區,行孝里,1658024.0,804.0,1648637.0,1655588.0,4158.0,4179.0,4218.0,4198.0,4198.0,398.75517075517075,0.19239052404881551,390.857515410147,394.3754168651739
136,中山區,朱園里,3089019.0,3181084.0,3477692.0,3362796.0,4394.0,4531.0,4602.0,4691.0,4691.0,703.0084205735093,702.0710659898477,755.6914385049978,716.8612236196973
137,中山區,中吉里,2056.0,2618.0,41325.0,30447.0,5812.0,5797.0,5846.0,5831.0,5831.0,0.3537508602890571,0.45161290322580644,7.068936024632227,5.221574344023324
138,中山區,朱崙里,2383.0,10716.0,12581.0,3095.0,2982.0,2942.0,2983.0,2994.0,2994.0,0.7991281019450034,3.6424201223657375,4.217566208514918,1.0337341349365397
139,中山區,中原里,,,,,5047.0,5089.0,5097.0,5128.0,5128.0,,,,
140,中山區,晴光里,359.0,9126.0,12253.0,10675.0,5122.0,5234.0,5351.0,5432.0,5432.0,0.07008980866848886,1.7435995414596868,2.289852364044104,1.9652061855670102
141,中山區,劍潭里,,6124.0,4921.0,567.0,3892.0,3888.0,3895.0,3899.0,3899.0,,1.5751028806584362,1.2634146341463415,0.14542190305206462
142,中山區,大直里,,15841.0,7942.0,4623.0,10326.0,10340.0,10319.0,10316.0,10316.0,,1.5320116054158608,0.7696482217269115,0.4481388134936022
143,中山區,成功里,,4343.0,5788.0,,6693.0,6912.0,7060.0,7102.0,7102.0,,0.6283275462962963,0.8198300283286118,
144,中山區,永安里,,,,2697.0,9912.0,9926.0,10028.0,10081.0,10081.0,,,,0.26753298283900406
145,中山區,康樂里,,8600.0,,6782.0,2484.0,2575.0,2668.0,2684.0,2684.0,,3.3398058252427183,,2.5268256333830106
146,中山區,金泰里,,,,10854.0,7563.0,7619.0,7709.0,7801.0,7801.0,,,,1.3913600820407641
147,中山區,北安里,,,,,2855.0,2846.0,2843.0,2889.0,2889.0,,,,
148,中山區,中庄里,3911.0,25593.0,23022.0,113914.0,5167.0,5129.0,5201.0,5251.0,5251.0,0.7569189084575189,4.989861571456424,4.426456450682561,21.69377261474005
149,中山區,正守里,6751.0,6604.0,6354.0,6895.0,3178.0,3209.0,3239.0,3300.0,3300.0,2.1242920075519196,2.0579619819258337,1.9617165791911084,2.0893939393939394
150,中山區,正義里,1149.0,14929.0,6206.0,14696.0,4994.0,5250.0,5335.0,5368.0,5368.0,0.2300760913095715,2.8436190476190477,1.1632614807872539,2.737704918032787
151,中山區,集英里,3673225.0,3602348.0,3776095.0,3737903.0,7243.0,7343.0,7385.0,7454.0,7454.0,507.1413778820931,490.582595669345,511.31956668923493,501.4627045881406
152,中山區,新庄里,21591.0,5122.0,5451.0,5725.0,5061.0,5086.0,5173.0,5231.0,5231.0,4.266152934202727,1.0070782540306724,1.0537405760680456,1.0944370101319059
153,中山區,新福里,1222184.0,1211559.0,1256479.0,1228352.0,5190.0,5196.0,5193.0,5233.0,5233.0,235.488246628131,233.17147806004618,241.95628730984018,234.73189375119435
154,中山區,新生里,2793021.0,2839060.0,2978979.0,2950046.0,5022.0,5063.0,5083.0,5175.0,5175.0,556.1571087216248,560.7465929290934,586.0670863663191,570.0571980676328
155,中山區,江山里,1385722.0,2658.0,1373402.0,1325359.0,7666.0,7743.0,7786.0,7832.0,7832.0,180.76206626663188,0.3432777993025959,176.3937837143591,169.22356996935648
156,中山區,朱馥里,892290.0,,930292.0,895408.0,6272.0,6261.0,6235.0,6223.0,6223.0,142.265625,,149.2048115477145,143.88687128394665
157,中山區,民安里,1207036.0,1221821.0,1280869.0,1283701.0,4918.0,4847.0,4815.0,4841.0,4841.0,245.432289548597,252.07778007014647,266.0164070612669,265.1726915926462
158,中山區,正得里,2764467.0,2770626.0,3020218.0,2968514.0,3593.0,3682.0,3745.0,3789.0,3789.0,769.403562482605,752.4785442694188,806.4667556742323,783.4557930852468
159,中山區,行仁里,3267878.0,25770.0,3241666.0,3268966.0,8397.0,8402.0,8468.0,8484.0,8484.0,389.1720852685483,3.0671268745536775,382.81365139348134,385.3095238095238
160,中山區,下埤里,3433380.0,631.0,3433252.0,3345068.0,7698.0,7799.0,7837.0,7888.0,7888.0,446.00935307872174,0.08090780869342223,438.0824295010846,424.07048681541585
161,中山區,新喜里,2243544.0,2214632.0,2320897.0,2230797.0,5460.0,5516.0,5524.0,5564.0,5564.0,410.9054945054945,401.492385786802,420.1479000724113,400.9340402588066
162,中山區,行政里,2599157.0,2545018.0,2728365.0,2590643.0,7718.0,7685.0,7695.0,7730.0,7730.0,336.76561285307076,331.1669486011711,354.5633528265107,335.14139715394566
163,中山區,松江里,1551863.0,1611618.0,1568001.0,1647361.0,6760.0,6828.0,6879.0,6959.0,6959.0,229.5655325443787,236.03075571177504,227.94025294374183,236.72381089236958
164,中山區,江寧里,1738415.0,,1693695.0,1654401.0,6761.0,6970.0,7055.0,7120.0,7120.0,257.1239461618104,,240.07016300496102,232.35969101123595
165,中山區,聚盛里,2747496.0,2659407.0,2717905.0,2595021.0,3916.0,4051.0,4168.0,4236.0,4236.0,701.6077630234934,656.481609479141,652.0885316698657,612.6111898016998
