,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
25.019753_121.471436,121.471436,25.019753,11.403736328125014,13.104736,10.013736328125,16.09570062828064,15.226670898437504,15.487671,13.916670898437513,18.24521821784973,18.07860742187507,16.547607,16.542607421875104,18.592301025390626,20.20882592773441,16.927826,18.188825927734403,17.953754863739015
25.019821_121.492004,121.492004,25.019821,11.465220703125013,13.126221,10.050220703124992,16.13155538272858,15.305307373046878,15.496307,13.965307373046883,18.266739461898805,18.379104248046986,16.588104,16.799104248046895,18.623023960113525,20.232557617187528,16.971558,18.22255761718753,17.981935121536253
25.019875_121.51254,121.51254,25.019875,11.484072021484389,13.105072,10.07707202148434,16.134309226036073,15.208238281250004,15.469238,13.898238281250013,18.256244119644165,18.41104760742199,16.580048,16.811047607421898,18.61952888011932,20.153960205078132,17.00296,18.14396020507813,18.01006259059906
25.019943_121.53311,121.53311,25.019943,11.38476293945314,13.125763,10.014762939453126,16.154042828559877,15.56200830078125,15.471008,14.170008300781255,18.2663533411026,18.505522705078253,16.604523,16.895522705078157,18.641774661064147,20.153602539062504,17.042603,18.153602539062504,18.058998376846315
25.02002_121.55365,121.55365,25.02002,11.333769287109387,13.044769,9.943769287109376,16.121873992919923,15.65537133789062,15.324371,14.213371337890626,18.19574666786194,18.970554443359443,16.449554,17.27055444335949,18.59113519573212,20.616424804687597,16.935425,18.576424804687587,18.032802598953246
25.02008_121.57422,121.57422,25.02008,11.88199682617189,12.602997,10.29199682617188,16.003557490348815,15.85703759765623,14.876038,14.35503759765626,18.10541711807251,20.238812500000023,16.007812,18.34881250000004,18.61746150779724,21.96617944335944,16.46518,19.866179443359425,18.09107715606689
25.020142_121.59476,121.59476,25.020142,11.985286621093756,12.256287,10.29528662109377,15.802039390563964,16.228901611328155,14.567902,14.645901611328132,17.916456594467164,20.628009277343875,15.747009,18.758009277343653,18.4559023513794,22.27719140624996,16.221191,20.092191406250123,17.940050661087035
25.020187_121.615326,121.615326,25.020187,12.049398437499985,12.108398,10.317398437500016,15.717603236198425,15.954319091796863,14.433319,14.36831909179686,17.837007532119753,20.592354492187425,15.5633545,18.75435449218752,18.359791429519653,22.597445312500064,16.106445,20.397445312500032,17.89040940093994
25.020248_121.635864,121.635864,25.020248,11.876968750000003,11.792969,10.111968750000011,15.48565566253662,15.246915527343749,14.125916,13.65491552734376,17.602132130622866,20.563025146484414,15.232025,18.643025146484423,18.13650665855408,22.80853466796873,15.735535,20.546534667968864,17.637075214385987
25.038216_121.43024,121.43024,25.038216,11.392568115234388,13.063568,9.972568115234376,16.028696623802187,15.084393066406257,15.465393,13.774393066406263,18.198069283485413,19.10405175781258,16.503052,17.42405175781263,18.57470962238312,19.685390869140743,16.84439,17.745390869140753,17.878683944702146
25.038284_121.450806,121.450806,25.038284,11.683632568359384,13.154633,10.213632568359394,16.09469339942932,15.799696289062496,15.538696,14.4176962890625,18.25333955192566,19.02989038085944,16.51889,17.369890380859495,18.579454199790955,20.3003432617188,16.889343,18.2703432617188,17.928694723129272
25.038383_121.471375,121.471375,25.038383,11.712056640625008,13.133057,10.252056640625018,16.09639431476593,15.658160644531248,15.527161,14.286160644531254,18.25443152141571,18.56941137695308,16.515411,16.95641137695318,18.56464191150665,20.231422363281293,16.870422,18.20142236328129,17.932433247566223
25.038452_121.49191,121.49191,25.038452,12.025351318359377,13.166351,10.495351318359388,16.133010272979735,15.387432617187502,15.518433,14.067432617187508,18.265091026306152,18.478536621093884,16.537537,16.86853662109379,18.579205565452572,20.276944824218795,16.905945,18.24694482421879,17.968754340171813
