,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,用電量_2015
387,士林區,名山里,308,330,--,--,--
388,士林區,社園里,1307826,538130,1210577,1277850,1253073
389,士林區,岩山里,123195,128752,125950,126326,127836
390,士林區,葫東里,814044,872785,782921,795033,812803
391,士林區,富洲里,990666,998385,908304,962396,892050
392,士林區,義信里,924013,976977,1007408,1023999,1049196
393,士林區,菁山里,346616,353251,333629,320294,349757
394,士林區,福佳里,1884615,1860903,1760701,1755572,1812318
395,士林區,福林里,741751,898315,869738,933962,919034
396,士林區,溪山里,463359,486708,444803,480278,463954
397,士林區,永倫里,1459138,956553,1310399,1410911,1375736
398,士林區,陽明里,1882121,1960169,1885086,,1956860
399,士林區,葫蘆里,1377930,1414371,1243636,1356488,1268634
400,士林區,社子里,1205899,5120,1140707,1161287,1163967
401,士林區,臨溪里,1469998,1439292,1363865,1378324,1425409
402,士林區,舊佳里,1357630,1457979,1245587,1323713,1323325
403,士林區,社新里,1690795,120,1635920,1612862,1584762
404,士林區,仁勇里,1207824,1247861,1157109,1146028,1125099
405,士林區,福中里,1456916,1425707,1379434,1403193,1408067
406,士林區,後港里,1825599,1782953,1646965,1657445,1724990
407,士林區,百齡里,1372700,1369807,1193837,1248934,1211050
408,士林區,福志里,1910348,1892610,1717454,1865711,1818880
409,士林區,前港里,1063270,1122407,1078623,1147994,948328
410,士林區,翠山里,788345,764054,657893,700101,678599
411,士林區,富光里,1095492,1091295,1035129,1037976,1053697
412,士林區,明勝里,1083369,1079015,1003888,1047643,1059251
413,士林區,福華里,1238683,1234166,1095376,1122484,1091361
414,北投區,湖山里,481065,684625,682338,678546,623931
415,北投區,洲美里,174256,--,196408,,220950
416,北投區,泉源里,541315,612757,575714,582309,657189
417,北投區,湖田里,201737,237492,228603,240950,227908
418,北投區,永和里,55017,55987,49092,59117,51698
419,北投區,大同里,2938,7160,10041,9709,104802
420,北投區,八仙里,3840,3840,8434,9056,5353
421,北投區,一德里,586,2273,535,506,439
422,北投區,關渡里,--,--,40,6913,9360
423,北投區,桃源里,400,399,--,--,5169
424,北投區,大屯里,--,--,--,--,69
425,北投區,豐年里,--,--,--,--,--
426,北投區,清江里,--,120,120,13480,12400
427,北投區,永欣里,--,--,--,20320,--
428,北投區,永明里,--,--,--,--,1456
429,北投區,東華里,--,40,40,40,40
430,北投區,吉利里,--,--,--,--,2411
431,北投區,吉慶里,--,102,--,--,--
432,北投區,尊賢里,--,--,--,--,--
433,北投區,立賢里,--,--,--,--,49640
434,北投區,立農里,--,1327,--,--,88
435,北投區,建民里,--,--,--,--,17028
436,北投區,文林里,--,--,--,--,--
437,北投區,石牌里,--,--,--,--,336
438,北投區,福興里,--,--,--,4143,16636
439,北投區,榮光里,--,--,3601,3075,--
440,北投區,榮華里,--,--,--,--,16892
441,北投區,裕民里,--,--,--,--,4720
442,北投區,振華里,--,--,--,--,--
443,北投區,中央里,2604,2502,3261,4721,84791
444,北投區,稻香里,19149,214,44225,49982,80098
445,北投區,秀山里,1230,2105,2050,2269,1343
446,北投區,奇岩里,624871,2370379,2239232,2320413,2212825
447,北投區,中和里,273114,271241,267722,277390,459689
448,北投區,長安里,1300143,804011,1274232,1303075,1213795
449,北投區,溫泉里,1165391,1389535,1331897,1343246,1357982
450,北投區,開明里,1402518,1440733,1313314,1441781,1224132
451,北投區,中心里,1571371,1369921,1526192,1568142,1397138
452,北投區,文化里,772572,1047,720138,723098,670308
453,北投區,林泉里,926059,886590,857231,873492,770528
454,北投區,智仁里,1107881,675589,1038053,1065011,848322
455,北投區,中庸里,848560,840895,800590,817033,599948
