,district,village,population_2011,population_2012,population_2013,population_2014,population_2015
187,中正區,梅花里,3300.0,3289.0,3321.0,3367.0,3367.0
188,中正區,頂東里,6008.0,6117.0,6220.0,6262.0,6262.0
189,中正區,富水里,2984.0,2856.0,2927.0,2715.0,2715.0
190,中正區,廈安里,4643.0,4740.0,4833.0,4920.0,4920.0
191,中正區,愛國里,3728.0,3775.0,3739.0,3668.0,3668.0
192,中正區,新營里,10178.0,10280.0,10323.0,10326.0,10326.0
193,中正區,網溪里,5808.0,5868.0,5933.0,5993.0,5993.0
194,中正區,黎明里,3634.0,3644.0,3609.0,3622.0,3622.0
195,中正區,螢圃里,5543.0,5602.0,5692.0,5709.0,5709.0
196,中正區,螢雪里,4583.0,4574.0,4607.0,4589.0,4589.0
197,中正區,龍光里,3952.0,3912.0,3965.0,3981.0,3981.0
198,中正區,龍福里,8489.0,8520.0,8259.0,8196.0,8196.0
199,中正區,龍興里,4566.0,4596.0,4613.0,4545.0,4545.0
200,大同區,大有里,5146.0,5211.0,5165.0,5172.0,5172.0
201,大同區,民權里,6540.0,6787.0,6912.0,7041.0,7041.0
202,大同區,永樂里,5758.0,5750.0,5734.0,5717.0,5717.0
203,大同區,玉泉里,3216.0,3264.0,3214.0,3264.0,3264.0
204,大同區,光能里,5321.0,5417.0,5521.0,5569.0,5569.0
205,大同區,老師里,6024.0,6139.0,6209.0,6302.0,6302.0
206,大同區,至聖里,7604.0,8043.0,8194.0,8292.0,8292.0
207,大同區,延平里,4198.0,4205.0,4242.0,4290.0,4290.0
208,大同區,保安里,4279.0,4257.0,4300.0,4342.0,4342.0
209,大同區,南芳里,4020.0,4120.0,4215.0,4262.0,4262.0
210,大同區,建功里,4832.0,4882.0,4900.0,4833.0,4833.0
211,大同區,建明里,3529.0,3573.0,3605.0,3608.0,3608.0
212,大同區,建泰里,3884.0,3933.0,3984.0,4042.0,4042.0
213,大同區,星明里,5869.0,6086.0,6210.0,6318.0,6318.0
214,大同區,重慶里,7029.0,7168.0,7273.0,7336.0,7336.0
215,大同區,國順里,3134.0,3123.0,3129.0,3120.0,3120.0
216,大同區,國慶里,4353.0,4478.0,4456.0,4533.0,4533.0
217,大同區,揚雅里,4273.0,4365.0,4348.0,4367.0,4367.0
218,大同區,斯文里,5427.0,5489.0,5525.0,5564.0,5564.0
219,大同區,景星里,2851.0,2882.0,2941.0,2917.0,2917.0
220,大同區,朝陽里,4388.0,4422.0,4446.0,4603.0,4603.0
221,大同區,隆和里,3243.0,3225.0,3208.0,3274.0,3274.0
222,大同區,蓬萊里,4936.0,5060.0,5070.0,5105.0,5105.0
223,大同區,鄰江里,6456.0,6529.0,6585.0,6675.0,6675.0
224,大同區,雙連里,10330.0,10401.0,10434.0,10427.0,10427.0
225,萬華區,仁德里,4592.0,4780.0,4830.0,4814.0,4814.0
226,萬華區,日祥里,5805.0,5876.0,5843.0,5783.0,5783.0
227,萬華區,日善里,4004.0,3977.0,3945.0,3963.0,3963.0
228,萬華區,全德里,4459.0,4443.0,4446.0,4440.0,4440.0
229,萬華區,西門里,4013.0,3975.0,3992.0,4064.0,4064.0
230,萬華區,孝德里,3376.0,3447.0,3492.0,3539.0,3539.0
231,萬華區,和平里,7254.0,7272.0,7257.0,7200.0,7200.0
232,萬華區,和德里,7457.0,7619.0,7681.0,7674.0,7674.0
233,萬華區,忠貞里,5157.0,5188.0,5216.0,5165.0,5165.0
234,萬華區,忠德里,4716.0,4714.0,4656.0,4693.0,4693.0
235,萬華區,青山里,5973.0,5970.0,6018.0,5974.0,5974.0
236,萬華區,保德里,3215.0,3394.0,3482.0,3518.0,3518.0
