year,district,village,total_2012
101,內湖區,大湖里,5548.00 
101,內湖區,五分里,11576.00 
101,內湖區,內湖里,6099.00 
101,內湖區,內溝里,5004.00 
101,內湖區,石潭里,3247.00 
101,內湖區,安泰里,5721.00 
101,內湖區,安湖里,8454.00 
101,內湖區,行善里,6798.00 
101,內湖區,西安里,6818.00 
101,內湖區,西康里,9386.00 
101,內湖區,西湖里,7870.00 
101,內湖區,秀湖里,6442.00 
101,內湖區,明湖里,5591.00 
101,內湖區,東湖里,9047.00 
101,內湖區,金湖里,10119.00 
101,內湖區,金瑞里,7061.00 
101,內湖區,金龍里,5586.00 
101,內湖區,南湖里,5834.00 
101,內湖區,康寧里,9544.00 
101,內湖區,清白里,8336.00 
101,內湖區,港都里,5747.00 
101,內湖區,港富里,10026.00 
101,內湖區,港華里,9333.00 
101,內湖區,港墘里,6331.00 
101,內湖區,湖元里,5756.00 
101,內湖區,湖興里,8704.00 
101,內湖區,湖濱里,8486.00 
101,內湖區,紫星里,8195.00 
101,內湖區,紫陽里,8077.00 
101,內湖區,紫雲里,6096.00 
101,內湖區,週美里,6920.00 
101,內湖區,瑞光里,4778.00 
101,內湖區,瑞陽里,8112.00 
101,內湖區,葫洲里,7758.00 
101,內湖區,碧山里,7310.00 
101,內湖區,樂康里,8928.00 
101,內湖區,麗山里,6079.00 
101,內湖區,寶湖里,7995.00 
101,內湖區,蘆洲里,1313.00 
101,士林區,三玉里,6047.00 
101,士林區,仁勇里,4349.00 
101,士林區,公館里,1455.00 
101,士林區,天山里,7600.00 
101,士林區,天母里,7142.00 
101,士林區,天玉里,9281.00 
101,士林區,天和里,8228.00 
101,士林區,天祿里,5366.00 
101,士林區,天壽里,5290.00 
101,士林區,天福里,6645.00 
101,士林區,平等里,1510.00 
101,士林區,永倫里,7509.00 
101,士林區,永福里,1336.00 
101,士林區,名山里,7468.00 
101,士林區,百齡里,7718.00 
101,士林區,岩山里,3710.00 
101,士林區,忠誠里,5892.00 
101,士林區,承德里,5892.00 
101,士林區,明勝里,5180.00 
101,士林區,東山里,5543.00 
101,士林區,社子里,6817.00 
101,士林區,社園里,7837.00 
101,士林區,社新里,9171.00 
101,士林區,芝山里,7956.00 
101,士林區,前港里,4855.00 
101,士林區,後港里,8496.00 
101,士林區,富光里,6296.00 
101,士林區,富洲里,5784.00 
101,士林區,菁山里,1735.00 
101,士林區,陽明里,3135.00 
101,士林區,新安里,2132.00 
101,士林區,溪山里,1489.00 
101,士林區,義信里,3552.00 
101,士林區,聖山里,5376.00 
101,士林區,葫東里,4118.00 
101,士林區,葫蘆里,7971.00 
101,士林區,福中里,7327.00 
101,士林區,福安里,5022.00 
101,士林區,福志里,7876.00 
101,士林區,福佳里,8286.00 
101,士林區,福林里,3267.00 
101,士林區,福華里,7007.00 
101,士林區,福順里,5449.00 
101,士林區,福德里,6239.00 
101,士林區,翠山里,2826.00 
101,士林區,德行里,4555.00 
101,士林區,德華里,5948.00 
101,士林區,臨溪里,3075.00 
101,士林區,舊佳里,6351.00 
101,士林區,蘭雅里,8973.00 
101,士林區,蘭興里,6812.00 
101,北投區,一德里,7225.00 
101,北投區,八仙里,5663.00 
101,北投區,大屯里,1255.00 
101,北投區,大同里,6266.00 
101,北投區,中心里,6503.00 
101,北投區,中央里,9210.00 
101,北投區,中和里,5258.00 
101,北投區,中庸里,4571.00 
101,北投區,文化里,4558.00 
101,北投區,文林里,4546.00 
101,北投區,永和里,9409.00 
101,北投區,永明里,5279.00 
101,北投區,永欣里,8106.00 
101,北投區,石牌里,5624.00 
101,北投區,立農里,9702.00 
101,北投區,立賢里,5965.00 
101,北投區,吉利里,7551.00 
101,北投區,吉慶里,5683.00 
101,北投區,秀山里,3472.00 
101,北投區,奇岩里,9974.00 
101,北投區,東華里,4816.00 
101,北投區,林泉里,3434.00 
101,北投區,長安里,6257.00 
101,北投區,建民里,4150.00 
101,北投區,泉源里,2501.00 
101,北投區,洲美里,2199.00 
101,北投區,振華里,8074.00 
101,北投區,桃源里,5946.00 
101,北投區,清江里,9804.00 
101,北投區,尊賢里,5088.00 
101,北投區,智仁里,6554.00 
101,北投區,湖山里,1852.00 
101,北投區,湖田里,1003.00 
101,北投區,開明里,6654.00 
101,北投區,溫泉里,7006.00 
101,北投區,裕民里,7985.00 
101,北投區,榮光里,8014.00 
101,北投區,榮華里,7932.00 
101,北投區,福興里,7577.00 
101,北投區,稻香里,5208.00 
101,北投區,豐年里,4883.00 
101,北投區,關渡里,11435.00 
