,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
421,北投區,榮華里,3341691,3268773,3673652,3443882
422,北投區,立農里,2982910,2986248,3205117,3154532
423,北投區,立賢里,1930624,1894996,1971340,2122828
424,北投區,東華里,1450192,1483804,1596062,1608871
425,北投區,福興里,2378742,2278217,2573382,2429371
426,北投區,振華里,2921466,2901515,3101063,2975876
427,北投區,榮光里,2327633,2257371,2533293,2389471
428,北投區,建民里,1369110,1456015,1518087,1559488
429,北投區,文林里,1911311,1800743,1979966,1929783
430,北投區,大屯里,414531,443332,451654,436931
431,北投區,石牌里,1780763,1710012,1882794,2670660
432,北投區,洲美里,520,348,397,368
433,北投區,奇岩里,--,233,4109,195
434,北投區,長安里,--,--,--,--
435,北投區,溫泉里,--,--,--,--
436,北投區,林泉里,--,12840,--,--
437,北投區,中心里,--,9120,5160,--
438,北投區,中庸里,--,--,8023,6167
439,北投區,智仁里,--,--,--,--
440,北投區,文化里,--,--,--,--
441,北投區,湖田里,109,40,40,40
442,北投區,湖山里,32,1487,10086,1380
443,北投區,泉源里,12388,8394,8882,9228
444,北投區,關渡里,3512017,1610490,3928323,3933259
445,北投區,中和里,1392926,1367053,1405929,1375971
446,北投區,開明里,101642,118626,108269,26596
447,北投區,秀山里,1064367,1012344,1058092,991918
448,北投區,稻香里,1679662,1611562,1780309,1627498
449,北投區,豐年里,1324390,1099581,1411257,1284271
450,北投區,清江里,2948555,2930676,3172172,2903022
451,北投區,八仙里,1981810,1915091,2381685,2015833
452,北投區,大同里,2256325,2126623,2270003,2086341
453,北投區,一德里,2520536,3232,2648871,2569633
454,北投區,中央里,3264807,3114267,3340573,4123849
455,北投區,桃源里,1856212,1495717,1942503,1646348
