,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014
401,士林區,天玉里,3000189,2988370,2951574,2911147
402,士林區,天母里,2595304,2613213,2768455,2766902
403,士林區,蘭雅里,2459930,1880619,2348545,2349913
404,士林區,平等里,460964,458410,396322,401145
405,士林區,名山里,1837638,120,1637952,1603557
406,士林區,蘭興里,1865926,1863403,1923916,1939822
407,士林區,聖山里,1297672,40,1251437,1248874
408,士林區,天壽里,2066477,2080849,2122660,2063137
409,士林區,德行里,1276920,1234965,1338034,1344611
410,士林區,芝山里,2205176,2143853,2128844,2096513
411,士林區,三玉里,1788458,276988,1755807,1733268
412,士林區,陽明里,990566,1050725,915855,857926
413,士林區,德華里,1593810,1490666,1521465,1504117
414,北投區,吉慶里,10105,1138267,1126207,1129963
415,北投區,永欣里,1334033,2055531,2168909,2041207
416,北投區,尊賢里,446177,902606,927996,968308
417,北投區,永和里,2405427,2812674,3022505,2881489
418,北投區,吉利里,1060392,1262002,1302897,1279524
419,北投區,建民里,855612,907786,904897,990456
420,北投區,大屯里,341772,373904,381587,341278
421,北投區,洲美里,508,345,340,335
422,北投區,奇岩里,--,229,3414,223
423,北投區,溫泉里,--,--,--,--
424,北投區,林泉里,8,7240,--,--
425,北投區,中心里,--,8240,4480,--
426,北投區,中庸里,--,--,6322,4890
427,北投區,長安里,--,--,--,--
428,北投區,智仁里,--,--,--,--
429,北投區,文化里,--,--,--,--
430,北投區,湖田里,110,40,40,40
431,北投區,湖山里,--,1344,4543,1213
432,北投區,泉源里,10213,8539,7699,8281
433,北投區,秀山里,725304,698579,710766,705269
434,北投區,文林里,1164109,1137658,1157195,1216930
435,北投區,關渡里,2357563,1097199,2520922,2439531
436,北投區,中和里,929719,895281,867608,873834
437,北投區,開明里,71430,76348,67056,18688
438,北投區,永明里,1294920,1208719,1239643,1205692
439,北投區,大同里,1333506,1352811,1317916,1283261
440,北投區,石牌里,1160927,1157547,1105626,1640687
441,北投區,一德里,1722303,2448,1766808,1640245
442,北投區,東華里,1120001,1071615,1086663,1056124
443,北投區,豐年里,882077,744650,825904,820449
444,北投區,榮光里,1541738,1535998,1459909,1470731
445,北投區,福興里,1597999,1574664,1572655,1513314
446,北投區,中央里,1967437,1982765,1962502,2562080
447,北投區,清江里,1869349,1833546,1931293,1774772
448,北投區,稻香里,1189550,1143848,1143550,1039020
449,北投區,立賢里,1432916,1332711,1331506,1339187
450,北投區,裕民里,2084851,2039722,2018266,2035684
451,北投區,榮華里,2294335,2232361,2329462,2147931
452,北投區,八仙里,1364214,1266937,1518707,1309072
453,北投區,桃源里,1329839,1108046,1317668,1097735
454,北投區,振華里,2032019,1963834,1908253,1808323
455,北投區,立農里,2234897,2081981,2130634,1983747
